time,|psi2|,i1alpha,motorMechanicalAngularVelocity
0.0355,0.511891,-98.5604,-9.79977
0.0356,0.510802,-104.349,-9.87404
0.0357,0.509617,-110.028,-9.94775
0.0358,0.508335,-115.593,-10.0208
0.0359,0.506956,-121.037,-10.0932
0.036,0.505482,-126.356,-10.165
0.0361,0.503913,-131.544,-10.2359
0.0362,0.502249,-136.595,-10.3061
0.0363,0.500491,-141.506,-10.3754
0.0364,0.498639,-146.271,-10.4438
0.0365,0.496695,-150.885,-10.5114
0.0366,0.494659,-155.344,-10.5779
0.0367,0.492531,-159.644,-10.6435
0.0368,0.490313,-163.78,-10.708
0.0369001,0.488005,-167.748,-10.7715
0.0370001,0.485608,-171.544,-10.8338
0.0371001,0.483123,-175.165,-10.895
0.0372001,0.480551,-178.607,-10.9551
0.0373001,0.477892,-181.867,-11.0139
0.0374001,0.475148,-184.941,-11.0715
0.0375001,0.47232,-187.826,-11.1278
0.0376001,0.469409,-190.52,-11.1828
0.0377001,0.466415,-193.02,-11.2364
0.0378001,0.463341,-195.323,-11.2888
0.0379001,0.460186,-197.428,-11.3397
0.0380001,0.456953,-199.331,-11.3892
0.0381001,0.453642,-201.032,-11.4373
0.0382001,0.450255,-202.529,-11.484
0.0383001,0.446793,-203.82,-11.5292
0.0384001,0.443257,-204.903,-11.5729
0.0385001,0.43965,-205.779,-11.6151
0.0386001,0.435971,-206.446,-11.6557
0.0387001,0.432224,-206.903,-11.6948
0.0388001,0.428408,-207.15,-11.7324
0.0389001,0.424527,-207.186,-11.7684
0.0390001,0.420581,-207.013,-11.8028
0.0391001,0.416573,-206.629,-11.8357
0.0392001,0.412504,-206.036,-11.8669
0.0393001,0.408376,-205.234,-11.8965
0.0394001,0.40419,-204.224,-11.9246
0.0395001,0.399949,-203.006,-11.951
0.0396001,0.395655,-201.582,-11.9758
0.0397001,0.39131,-199.954,-11.999
0.0398001,0.386916,-198.123,-12.0205
0.0399001,0.382475,-196.09,-12.0405
0.0400001,0.37799,-193.859,-12.0588
0.0401001,0.373463,-191.431,-12.0756
0.0402001,0.368896,-188.808,-12.0907
0.0403001,0.364293,-185.993,-12.1042
0.0404001,0.359655,-182.99,-12.1162
0.0405001,0.354986,-179.8,-12.1266
0.0406001,0.350289,-176.428,-12.1354
0.0407001,0.345566,-172.876,-12.1426
0.0408001,0.340822,-169.148,-12.1484
0.0409001,0.336058,-165.247,-12.1526
0.0410001,0.331279,-161.178,-12.1553
0.0411001,0.326488,-156.945,-12.1564
0.0412001,0.321689,-152.551,-12.1562
